text,canonical_form_1,category_1,severity_rating,severity_description
currans,currans,no insult,0.0,None
baglike,baglike,no insult,0.0,None
prophetico-historical,prophetico-historical,no insult,0.0,None
Gamin,Gamin,no insult,0.0,None
Crocidura,Crocidura,no insult,0.0,None
backfield,backfield,no insult,0.0,None
screeman,screeman,no insult,0.0,None
scabbard,scabbard,no insult,0.0,None
crotch fiddler,crotch,sexual anatomy / sexual acts,2.2,Strong
pyrenocarp,pyrenocarp,no insult,0.0,None
underspecified,underspecified,no insult,0.0,None
unrevengingly,unrevengingly,no insult,0.0,None
cock tease,cock,sexual anatomy / sexual acts,1.8,Strong
apotropous,apotropous,no insult,0.0,None
nigger,nigger,racial / ethnic slurs,3.0,Severe
closet fuckhead,fuck,sexual orientation / gender,2.8,Severe
clean-armed,clean-armed,no insult,0.0,None
twinklingly,twinklingly,no insult,0.0,None
spirulas,spirulas,no insult,0.0,None
etching,etching,no insult,0.0,None
geochemist,geochemist,no insult,0.0,None
gleanings,gleanings,no insult,0.0,None
g0ddamned,damn,religious offense,1.6,Strong
Guevarist,Guevarist,no insult,0.0,None
deckhouses,deckhouses,no insult,0.0,None
sheister,shit,racial / ethnic slurs,2.0,Strong
ladiboy,ladyboy,sexual orientation / gender,2.2,Strong
Acanthopterygii,Acanthopterygii,no insult,0.0,None
skanks,skank,sexual orientation / gender,1.2,Mild
Merilyn,Merilyn,no insult,0.0,None
fuku,fuck,sexual anatomy / sexual acts,2.6,Severe
ass-fuckers,fuck,sexual anatomy / sexual acts,2.6,Severe
brainish,brainish,no insult,0.0,None
boner,boner,sexual anatomy / sexual acts,1.0,Mild
Zubeneschamali,Zubeneschamali,no insult,0.0,None
pennyweights,pennyweights,no insult,0.0,None
r3tard,retard,mental disability,2.6,Severe
glyptal,glyptal,no insult,0.0,None
overlightsome,overlightsome,no insult,0.0,None
microanalyst,microanalyst,no insult,0.0,None
nonliturgically,nonliturgically,no insult,0.0,None
satieties,satieties,no insult,0.0,None
addressee,addressee,no insult,0.0,None
berakah,berakah,no insult,0.0,None
noninhibitory,noninhibitory,no insult,0.0,None
antiegotistical,antiegotistical,no insult,0.0,None
automat,automat,no insult,0.0,None
carbuncled,carbuncled,no insult,0.0,None
fukker,fuck,sexual anatomy / sexual acts,2.0,Strong
